"crime_category","crime_head","below_18_years_male","below_18_years_female","below_18_years_total","18_years_and_above_below_30_years_male","18_years_and_above_below_30_years_female","18_years_and_above_below_30_years_total","30_years_and_above_below_45_years_male","30_years_and_above_below_45_years_female","30_years_and_above_below_45_years_total","45_years_and_above_below_60_years_male","45_years_and_above_below_60_years_female","45_years_and_above_below_60_years_total","60_years_and_above_male","60_years_and_above_female","60_years_and_above_total","total_of_overall_age_group_male","total_of_overall_age_group_female","grand_total_of_male_and_female_arrested_including_juveniles"
"IPC","14.2 Industrial","2","","2","527","39","566","433","44","477","259","6","265","9","3","12","1230","92","1322"
"IPC","14.3 Political","21","","21","5280","105","5385","4646","106","4752","1321","66","1387","87","3","90","11355","280","11635"
"IPC","14.4 Caste Conflict","32","","32","5963","207","6170","4460","186","4646","1585","51","1636","78","6","84","12118","450","12568"
"IPC","14.4.1 SC/STs Vs. Non-SCs/STs","17","","17","3680","85","3765","2466","41","2507","695","14","709","48","1","49","6906","141","7047"
"IPC","14.4.2 Other Caste Riots","15","","15","2283","122","2405","1994","145","2139","890","37","927","30","5","35","5212","309","5521"
"IPC","14.5 Agrarian","15","1","16","4497","127","4624","3874","254","4128","1434","92","1526","48","11","59","9868","485","10353"
"IPC","14.6 Students","70","","70","3430","15","3445","83","","83","2","","2","","","","3585","15","3600"
"IPC","14.7 Sectarian","4","","4","3831","117","3948","2066","87","2153","478","44","522","15","","15","6394","248","6642"
"IPC","14.8 Other Riots","1442","59","1501","110203","4747","114950","85403","5679","91082","29941","2154","32095","2882","289","3171","229871","12928","242799"
"IPC","15 Criminal Breach of Trust","35","","35","8829","192","9021","10650","326","10976","4071","100","4171","303","18","321","23888","636","24524"
"IPC","16 Cheating","106","3","109","35762","1143","36905","47565","2541","50106","22664","1084","23748","1910","138","2048","108007","4909","112916"
"IPC","17 Forgery","12","","12","4795","145","4940","6239","212","6451","2382","96","2478","234","23","257","13662","476","14138"
"IPC","18 Counterfeiting","12","","12","883","24","907","965","31","996","161","6","167","7","","7","2028","61","2089"
"IPC","18.1 Offences related to Counterfeit Coin","","","","19","","19","7","","7","","","","","","","26","","26"
"IPC","18.2 Counterfeiting Government Stamp","","","","","","","1","","1","","","","","","","1","","1"
"IPC","18.3 Counterfeit Currency and Bank Notes","12","","12","864","24","888","957","31","988","161","6","167","7","","7","2001","61","2062"
"IPC","18.3.1 Counterfeiting Currency Notes or Bank Notes","5","","5","307","4","311","360","12","372","58","4","62","3","","3","733","20","753"
"IPC","18.3.2 Using forged or Counterfeit Currency/Bank Notes","6","","6","446","9","455","435","14","449","76","1","77","1","","1","964","24","988"
"IPC","18.3.3 Possession of Forged or CounterfeitingCurrency/Bank Notes","1","","1","101","11","112","147","5","152","22","1","23","3","","3","274","17","291"
"IPC","18.3.4 Make/Possess materials for Forging or Counterfeiting Currency/Bank Notes","","","","9","","9","14","","14","4","","4","","","","27","","27"
"IPC","18.3.5 Make/Use Documents Resembling Currency Notes/Bank Notes","","","","1","","1","1","","1","1","","1","","","","3","","3"
"IPC","19 Arson","66","1","67","4628","62","4690","4457","133","4590","1183","40","1223","88","3","91","10422","239","10661"
"IPC","20 Grievous Hurt","1225","44","1269","65028","2561","67589","52997","3034","56031","18914","1045","19959","1277","111","1388","139441","6795","146236"
"IPC","20.1 Grievous Hurt","1224","44","1268","64798","2550","67348","52895","3023","55918","18902","1043","19945","1277","111","1388","139096","6771","145867"
"IPC","20.2 Acid attack","1","","1","185","11","196","86","10","96","10","2","12","","","","282","23","305"
"IPC","20.3 Attempt to Acid Attack","","","","45","","45","16","1","17","2","","2","","","","63","1","64"
"IPC","21 Dowry Deaths","90","36","126","6648","1232","7880","6215","1625","7840","2496","1163","3659","344","124","468","15793","4180","19973"
"IPC","22 Assault on Women with Intent to Outrage her Modesty","1590","8","1598","53474","1323","54797","34003","1541","35544","8461","453","8914","674","44","718","98202","3369","101571"
"IPC","22.1 Sexual Harassment","531","","531","17979","157","18136","9751","229","9980","2190","70","2260","181","10","191","30632","466","31098"
"IPC","22.2 Assault on Women with Intent to Disrobe","91","3","94","5666","99","5765","3387","180","3567","630","55","685","48","4","52","9822","341","10163"
"IPC","22.3 Voyeurism","22","","22","598","5","603","314","4","318","27","3","30","6","","6","967","12","979"
"IPC","22.4 Stalking","164","","164","3896","24","3920","2051","42","2093","469","12","481","36","","36","6616","78","6694"
"IPC","22.5 Others","782","5","787","25335","1038","26373","18500","1086","19586","5145","313","5458","403","30","433","50165","2472","52637"
"IPC","23 Insult to the Modesty of Women","136","","136","5029","88","5117","3325","102","3427","1056","36","1092","93","5","98","9639","231","9870"
"IPC","23.1 At Office premises","","","","39","","39","42","","42","11","","11","","","","92","","92"
"IPC","23.2 Places Related to Work other than Office","7","","7","326","29","355","366","26","392","72","9","81","12","","12","783","64","847"
"IPC","23.3 In Public Transport system","3","","3","154","7","161","141","5","146","74","5","79","3","","3","375","17","392"
"IPC","23.4 in Other Places","126","","126","4510","52","4562","2776","71","2847","899","22","921","78","5","83","8389","150","8539"
"IPC","24 Cruelty by Husband or his Relatives","103","10","113","57288","9900","67188","63143","13275","76418","26946","10794","37740","3854","1754","5608","151334","35733","187067"
"IPC","25 Importation of Girls from Foreign Country","","","","","","","7","1","8","1","1","2","","","","8","2","10"
"IPC","26 Causing Death by Negligence","331","5","336","52595","114","52709","46474","114","46588","16230","20","16250","870","6","876","116500","259","116759"
"IPC","26.1 Deaths due to Negligent Driving/Act","310","4","314","50679","103","50782","43901","87","43988","15225","15","15240","811","1","812","110926","210","111136"
"IPC","26.2 Deaths due to Other Causes","21","1","22","1916","11","1927","2573","27","2600","1005","5","1010","59","5","64","5574","49","5623"
"IPC","27 Offences against State","","","","109","","109","111","1","112","15","","15","2","","2","237","1","238"
"IPC","27.1 Sedition","","","","29","","29","32","","32","11","","11","1","","1","73","","73"
"IPC","27.2 Other Offences Against State","","","","80","","80","79","1","80","4","","4","1","","1","164","1","165"
"IPC","28 Offences Promoting Enmity between Different Groups","13","","13","335","2","337","399","4","403","164","18","182","6","","6","917","24","941"
"IPC","28.1 Promoting Enmity on Ground of religion Race and Place of Birth","13","","13","309","2","311","375","4","379","161","18","179","6","","6","864","24","888"
"IPC","28.2 Imputation and Assertions Prejudicial to National integration","","","","26","","26","24","","24","3","","3","","","","53","","53"
"IPC","29 Extortion","101","","101","6317","129","6446","5494","120","5614","1189","37","1226","83","2","85","13184","288","13472"
"IPC","30 Disclosure of Identity of Victims","","","","","","","","","","","","","","","","","",""
"IPC","31 Causing Injuries under Rash Driving Act","1579","26","1605","204745","1291","206036","155765","853","156618","56658","124","56782","5387","7","5394","424134","2301","426435"
"IPC","32 Human Trafficking (Section 370 and 370A)","3","","3","628","73","701","724","120","844","149","27","176","19","3","22","1523","223","1746"
"IPC","33 Unnatural Offences","207","","207","739","4","743","430","10","440","89","2","91","10","","10","1475","16","1491"
"IPC","34 Other IPC crimes","11214","426","11640","592809","30894","623703","493510","34631","528141","207166","14814","221980","22514","1803","24317","1327213","82568","1409781"
"Total Cognizable IPC Crimes","Total Cognizable IPC Crimes","38221","853","39074","1609864","62847","1672711","1285277","75171","1360448","478987","35499","514486","45195","4682","49877","3457544","179052","3636596"
"SLL","1 Arms Act; 1959","197","","197","33384","12","33396","19529","19","19548","4731","6","4737","102","","102","57943","37","57980"
"SLL","2 Narcotic Drugs and Psychotropic Substances Act; 1985","148","3","151","31585","374","31959","20752","838","21590","5154","315","5469","426","30","456","58065","1560","59625"
